"First.ICD.9.CM.Diagnosis.Code","DRG"
"S33.5XX","551-552"
"S39.012","562-563"
"T14.90X","913-914"
"M54.5","551-552"
"G89.4","091-093"
"S13.4XX","551-552"
"M75.121","557-558"
"S16.1XX","551-552"
"S83.91X","562-563"
"S46.011","562-563"
"M51.26","551-552"
"S46.911","562-563"
"S43.401","562-563"
"S09.90X","011-013"
"M25.511","555-556"
"M54.16","551-552"
"S58.112","913-914"
"M25.562","555-556"
"M54.2","551-552"
"S46.912","562-563"
"S93.402","562-563"
"S23.3XX","551-552"
"M25.561","555-556"
"S46.012","562-563"
"S43.402","562-563"
"M75.101","557-558"
"S06.0X0","088-090"
"S83.92X","562-563"
"S93.401","562-563"
"Z98.890","951"
"S83.242","562-563"
"M25.512","555-556"
"S63.501","562-563"
"S80.01X","604-605"
"S83.8X2","562-563"
"M75.102","557-558"
"F07.81","102-103"
"S06.0X9","088-090"
"S83.231","562-563"
"Z77.21","951"
"S80.02X","604-605"
"M77.11","557-558"
"S83.241","562-563"
"M75.111","557-558"
"Z79.891","949-950"
"Z89.511","951"
"S06.0X1","088-090"
"M50.20","551-552"
"M96.1","551-552"
"M12.511","553-554"
"S83.512","562-563"
"S96.912","562-563"
"S63.502","562-563"
"S46.001","913-914"
"M75.42","557-558"
"Z47.89","559-561"
"M75.122","557-558"
"S00.83X","604-605"
"M51.16","551-552"
"M25.572","555-556"
"M23.8X1","562-563"
"S86.911","562-563"
"S60.221","604-605"
"M54.12","073-074"
"S67.22X","913-914"
"M25.531","555-556"
"S52.571","562-563"
"T07.XXX","913-914"
"S29.019","562-563"
"S67.21X","913-914"
"S00.93X","604-605"
"S83.8X1","562-563"
"M25.571","555-556"
"S52.572","562-563"
"S43.431","562-563"
"S43.421","562-563"
"M24.811","564-566"
"S93.491","562-563"
"S30.0XX","604-605"
"T14.90","913-914"
"S52.501","562-563"
"S62.102","562-563"
"S86.912","562-563"
"S46.811","562-563"
"M65.4","557-558"
"S93.492","562-563"
"S62.612","562-563"
"R63.4","640-641"
"S63.8X2","562-563"
"S40.012","604-605"
"G90.512","073-074"
"S52.502","562-563"
"S82.841","562-563"
"M51.37","551-552"
"G56.02","073-074"
"G56.01","073-074"
"S43.91X","562-563"
"G56.21","073-074"
"S61.412","604-605"
"S43.432","562-563"
"G82.53","052-053"
"S52.92X","562-563"
"S46.812","562-563"
"S66.911","562-563"
"K40.90","393-395"
"S40.011","604-605"
"S83.232","562-563"
"S90.31X","604-605"
"M25.532","555-556"
"Z79.899","949-950"
"M47.816","551-552"
"M77.12","557-558"
"S63.91X","562-563"
"S60.222","604-605"
"M75.41","557-558"
"S01.81X","604-605"
"S46.091","913-914"
"S93.602","562-563"
"S82.871","562-563"
"S83.411","562-563"
"K42.9","393-395"
"S67.01X","913-914"
"S29.012","562-563"
"Z98.89","951"
"Z03.89","951"
"S52.531","562-563"
"S62.636","562-563"
"S13.8XX","551-552"
"S43.50X","562-563"
"S52.532","562-563"
"S33.8XX","551-552"
"M48.061","551-552"
"S97.81X","913-914"
"S80.11X","604-605"
"S52.90X","562-563"
"S22.050","551-552"
"S13.9XX","551-552"
"M65.841","557-558"
"S90.32X","604-605"
"S83.511","562-563"
"S82.65X","562-563"
"G83.4","073-074"
"S02.2XX","154-156"
"S80.12X","604-605"
"S68.119","913-914"
"F43.10","882"
"S43.51X","562-563"
"S43.491","562-563"
"R51","102-103"
"M79.672","555-556"
"M43.17","551-552"
"T14.8XX","913-914"
"S63.591","562-563"
"S66.912","562-563"
"T84.84X","559-561"
"G56.22","073-074"
"S69.91X","913-914"
"S62.631","562-563"
"S61.411","604-605"
"M23.92","562-563"
"M17.12","553-554"
"S33.9XX","551-552"
"H90.3","154-156"
"M54.17","551-552"
"S39.92X","913-914"
"S61.212","604-605"
"S46.212","562-563"
"S20.212","604-605"
"S43.102","562-563"
"S82.201","562-563"
"S62.632","562-563"
"S98.112","913-914"
"S57.81X","913-914"
"S46.211","562-563"
"M23.91","562-563"
"S83.412","562-563"
"M51.36","551-552"
"M23.90","562-563"
"S42.201","562-563"
"M47.896","551-552"
"M54.6","551-552"
"M25.521","555-556"
"S61.215","604-605"
"S97.82X","913-914"
"S61.210","604-605"
"S89.91X","913-914"
"G89.18","947-948"
"S39.011","562-563"
"S51.811","604-605"
"M65.9","557-558"
"M25.642","555-556"
"S61.211","604-605"
"L89.153","573-575"
"S83.282","562-563"
"S67.193","913-914"
"M62.830","551-552"
"Z00.00","951"
"S86.811","562-563"
"S79.119","533-534"
"M51.27","551-552"
"S82.842","562-563"
"S56.912","562-563"
"S12.9XX","551-552"
"S72.002","535-536"
"S82.202","562-563"
"M79.642","555-556"
"M43.16","551-552"
"M12.561","553-554"
"S82.302","562-563"
"S83.402","562-563"
"S46.919","562-563"
"S61.012","604-605"
"S83.222","562-563"
"S82.51X","562-563"
"M54.9","551-552"
"S96.911","562-563"
"S68.120","913-914"
"M79.671","555-556"
"S86.311","562-563"
"S50.01X","604-605"
"M67.844","557-558"
"S93.601","562-563"
"M48.062","551-552"
"S83.281","562-563"
"G90.511","073-074"
"M75.02","557-558"
"S82.62X","562-563"
"S67.10X","913-914"
"S01.01X","604-605"
"M24.831","564-566"
"M65.311","557-558"
"S52.125","562-563"
"S53.442","562-563"
"S86.012","562-563"
