"Billing.Provider.FEIN"	"sev_S33.5XX_99456"	"sev_S33.5XX_99214"	"sev_S39.012_99204"	"sev_S13.4XX_97799"	"sev_S16.1XX_99456"	"fre_S33.5XX_99456"	"fre_S33.5XX_99214"	"fre_S39.012_99204"	"fre_S13.4XX_97799"	"fre_S16.1XX_99456"
"050104139"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"108116595"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"711243439"	"x"	NA	NA	NA	"x"	NA	NA	NA	NA	NA
"876928620"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"128451876"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"701578143"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"395840536"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"635412939"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"018445939"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"638259492"	"x"	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"702489439"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"011477676"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"527473778"	"x"	NA	NA	NA	"x"	NA	NA	NA	NA	NA
"966030372"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"359435996"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"952959699"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"736738993"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"626502899"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"785426796"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"079662379"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"751757179"	"x"	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"397087313"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210885223"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"164899964"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"989623113"	"x"	NA	NA	NA	NA	NA	NA	NA	NA	NA
