"diagnosis_procedure"	"total_paid"	"percent_rank_total_paid"	"avg_paid_per_claim"	"mean_count_per_claim"	"claim_count"
"M25.561_L1833"	61745.49	0.9948	497.9475	1.1015625	124
"S06.9X0_A0431"	125934.34	0.997577	7870.89625	2	16
"R52_99456"	130375	0.997669	71.9508830022075	1.05500495540139	1812
"S90.02X_97112"	34663.93	0.990791	203.905470588235	1.08888888888889	170
"S62.606_99456"	47467.5	0.993181	778.155737704918	1.63636363636364	61
"G82.54_G0156"	63000.25	0.994887	31500.125	1	2
"M23.8X1_J3490"	69188.44	0.995366	3843.80222222222	1.2	18
"S62.522_11012"	37754.95	0.991516	572.044696969697	1.39393939393939	66
"S62.502_99456"	75647.5	0.995775	764.116161616162	1.53571428571429	99
"G82.52_E1007"	48624.85	0.993331	9724.97	1.6	5
"S66.911_97750"	42154.62	0.992377	602.208857142857	1.33707865168539	70
"S68.624_99456"	32115	0.990132	764.642857142857	1.33333333333333	42
"M75.112_97799"	65332.5	0.995063	13066.5	1.42857142857143	5
"M54.12_99456"	124140.5	0.997535	833.157718120805	1.80225988700565	149
"Z89.612_L5651"	51595.81	0.993704	2715.56894736842	1.13793103448276	19
"S93.492_99456"	286553.79	0.999094	855.384447761194	1.69053708439898	335
"M25.312_29806"	131850.13	0.997703	2637.0026	1.55769230769231	50
"S49.91X_99456"	32435	0.990219	623.75	1.33962264150943	52
"S42.402_99456"	76617.5	0.995832	851.305555555556	1.50467289719626	90
"S61.012_99456"	83930	0.996205	687.950819672131	1.27692307692308	122
"S60.211_97799"	68675	0.995335	13735	1.13483146067416	5
"S34.109_97799"	39000	0.991797	19500	1	2
"S78.111_L5856"	127204.54	0.997612	31801.135	1.8	4
"M43.16_99213"	54605.9	0.994091	188.947750865052	1.05779334500876	289
"S39.012_G0283"	153370.73	0.998091	67.5047227112676	1.09445032220833	2272
"M65.312_99456"	31745	0.990026	813.974358974359	1.54545454545455	39
"G82.54_E1399"	105819.18	0.997047	6613.69875	1.80821917808219	16
"T31.10_A0435"	32531.7	0.990248	16265.85	2.5	2
"S72.142_27245"	175199.37	0.998362	2061.16905882353	1.34117647058824	85
"S86.112_99204"	43649.86	0.992631	226.165077720207	1.07035175879397	193
"S93.411_27698"	45678.2	0.992916	2175.15238095238	1.54545454545455	21
"G82.20_K0005"	100940.37	0.996898	2347.45046511628	1.27272727272727	43
"M25.562_G0283"	76007.93	0.995799	106.602987377279	1.08140161725067	713
"S53.491_97110"	113698.33	0.997287	701.841543209877	1.29079861111111	162
"S22.41X_99456"	98610	0.996798	921.588785046729	1.93798449612403	107
"S82.202_99456"	72623.75	0.995594	798.063186813187	1.4018691588785	91
"S86.811_99214"	37011.99	0.991355	260.647816901408	1.08494208494208	142
"S13.8XX_99456"	75834	0.995789	852.067415730337	2.25510204081633	89
"G89.4_L8685"	34682.32	0.990801	8670.58	2.25	4
"S62.630_99456"	64565	0.994996	694.247311827957	1.42268041237113	93
"S62.102_97799"	68062.5	0.995282	13612.5	1.5	5
"S62.636_99456"	45767.5	0.99293	726.468253968254	1.35384615384615	63
"S46.012_97140"	219030.68	0.998746	321.15935483871	1.0768054375531	682
"S23.3XX_97750"	148882.36	0.998013	644.512380952381	1.45378151260504	231
"G82.53_E1007"	37698.28	0.991501	12566.0933333333	1.66666666666667	3
"S88.119_L5973"	78311.03	0.99594	19577.7575	1	4
"S63.8X1_97110"	144344.7	0.997922	674.507943925234	1.19267955801105	214
"J34.89_30140"	39831.58	0.991949	545.638082191781	1.57534246575342	73
"S82.62X_97799"	49584.69	0.993484	16528.23	1.27777777777778	3
"S06.9X6_99199"	31733.24	0.990021	31733.24	1	1
"S52.572_L8699"	81204.1	0.996084	1194.17794117647	1.48529411764706	68
"S52.102_97799"	69526.5	0.99539	23175.5	4.40506329113924	3
"S43.92X_97799"	68500	0.995317	22833.3333333333	1.55963302752294	3
"S83.511_99456"	361300.1	0.999324	808.277628635347	1.49132947976879	447
"I67.89_G0156"	71456	0.995511	71456	1.05660377358491	1
"S46.012_01610"	41591	0.992264	602.768115942029	1.2463768115942	69
"G82.22_E1399"	89841.89	0.996463	12834.5557142857	1.64285714285714	7
"S32.9XX_97799"	124293.5	0.997539	17756.2142857143	1.35185185185185	7
"S06.0X0_90837"	51930.72	0.99376	1154.016	1.14195583596215	45
"S97.81X_97799"	90113	0.996474	11264.125	1	8
"S34.3XX_L8699"	106419.73	0.997062	106419.73	1	1
"L03.011_99214"	34254.42	0.990699	219.579615384615	1.096	156
"S06.6X9_A0431"	95690.48	0.996699	7974.20666666667	2.25	12
"M65.841_99456"	73662.07	0.995668	846.690459770115	1.7843137254902	87
"S80.00X_99456"	70395	0.995446	951.283783783784	2.07142857142857	74
"S06.0X9_A0431"	78903.22	0.99597	7890.322	1.4	10
"G82.50_S9123"	76848.73	0.995851	19212.1825	1.08759124087591	4
"S52.92X_97799"	82650	0.996154	13775	1.01834862385321	6
"S02.0XX_97799"	31950	0.990081	15975	1.17073170731707	2
"S63.91X_L3908"	39759.94	0.991933	58.2990322580645	1.10777626193724	682
"M54.41_97140"	32165.75	0.990145	188.103801169591	1.15765247410817	171
"M54.6_A4353"	43548	0.99261	43548	1.03030303030303	1
"M17.31_99213"	45477.06	0.992897	191.080084033613	1.07867494824017	238
"S82.891_97799"	60702.5	0.994713	7587.8125	1.0495867768595	8
"S39.011_97799"	78881.97	0.995969	8764.66333333333	1.3203125	9
"S43.491_99203"	67556.47	0.995254	149.792616407982	1.09429824561404	451
"S32.811_A0436"	37423.88	0.991439	18711.94	1.5	2
"H90.3_V5267"	139555.81	0.997857	437.479028213166	1.91875	319
"M75.121_97546"	111372.47	0.997224	1148.16979381443	1.10308182784272	97
"S00.93X_97110"	88189.62	0.996387	380.127672413793	1.38898756660746	232
"S82.841_99456"	95903.89	0.996706	779.706422764228	1.52857142857143	123
"S52.501_25607"	98486.28	0.996794	2290.37860465116	1.41860465116279	43
"W46.0XX_99213"	66300.6	0.99515	191.620231213873	1.03465346534653	346
"T75.4XX_97110"	38715.44	0.991729	716.952592592593	1.22137404580153	54
"M75.41_E1399"	50918.42	0.993639	1697.28066666667	1.11111111111111	30
"M86.10_J0878"	80395	0.996042	40197.5	3	2
"S39.92X_97799"	58795	0.994524	11759	1.13095238095238	5
"K43.9_99456"	43085	0.992535	633.602941176471	1.61842105263158	68
"T22.211_A0436"	47209.2	0.993144	11802.3	2	4
"S63.592_25320"	62953.81	0.99488	3497.43388888889	1.55555555555556	18
"S43.005_99213"	78134.92	0.995927	294.848754716981	1.03217158176944	265
"S86.011_27654"	55796.3	0.994213	2536.19545454545	1.39130434782609	22
"G89.4_01936"	194346.79	0.998566	573.294365781711	1.28109452736318	339
"S14.109_E1399"	41344.45	0.992222	5906.35	2.94117647058824	7
"S96.912_99204"	145875.82	0.99795	231.548920634921	1.12948517940718	630
"S58.022_L7499"	50669.22	0.993609	50669.22	4	1
"S46.212_23430"	106453.35	0.997063	3326.6671875	1.72727272727273	32
"S62.326_97799"	34306	0.99071	17153	1.51724137931034	2
"S48.921_L7499"	52258.55	0.993805	52258.55	1	1
"M25.512_01630"	77708.72	0.995903	621.66976	1.36507936507937	125
"M47.817_J7799"	69920.24	0.995412	3680.01263157895	1.08035714285714	19
"S83.411_99213"	307662.36	0.999165	251.358137254902	1.03065005052206	1224
"S62.92X_97799"	70577.62	0.995461	14115.524	1.13592233009709	5
"M25.572_99080"	34851.52	0.990842	22.7936690647482	1.07951266431549	1529
"S46.212_29827"	32408.19	0.990209	3600.91	1.66666666666667	9
"S66.912_97799"	99543.75	0.996848	12442.96875	1.15646258503401	8
"S86.919_99456"	99292.5	0.996831	1056.30319148936	1.98230088495575	94
"S92.354_99203"	58402.86	0.994482	169.283652173913	1.04415584415584	345
"S52.562_25609"	52604.54	0.993849	2287.15391304348	1.56521739130435	23
"S62.631_99203"	34467.96	0.990746	157.387945205479	1.11489361702128	219
"M96.1_J2274"	41402.36	0.992233	1254.61696969697	1.1900826446281	33
"M25.641_26525"	33980.37	0.990627	1699.0185	2.58333333333333	20
"S82.122_27535"	81585.86	0.996109	1539.3558490566	1.63636363636364	53
"S82.851_97799"	49057.5	0.993418	16352.5	1.27884615384615	3
"M43.17_22558"	39759.53	0.991931	1987.9765	2.45	20
"F43.12_96118"	34679.55	0.990798	3152.68636363636	1.45454545454545	11
"S68.022_L7499"	39862.78	0.991957	19931.39	2.5	2
"M25.562_J7330"	40179	0.992016	40179	4	1
"Z89.512_L5910"	53159.67	0.993935	656.292222222222	1.12621359223301	81
"S90.02X_99203"	66634.48	0.995178	154.604361948956	1.06178489702517	431
"S43.492_99456"	55298.5	0.994182	708.955128205128	1.59302325581395	78
"M66.829_97799"	32295.5	0.990181	32295.5	1	1
"S68.611_99456"	49450	0.993464	677.397260273973	1.4025974025974	73
"S80.01X_99456"	1514720.82	0.999913	1034.64536885246	2.00987925356751	1464
"M54.12_97140"	141616.21	0.997883	226.585936	1.17439293598234	625
"M25.512_95831"	42352.13	0.992404	378.144017857143	1.1622641509434	112
"S82.109_J0878"	59836	0.994627	59836	1.05263157894737	1
"M75.111_99455"	32356.85	0.990193	323.5685	1.14851485148515	100
"S82.892_A0436"	56554.95	0.99429	4712.9125	2.25	12
"S68.625_99456"	54840.5	0.994121	772.401408450704	1.3855421686747	71
"S63.91X_97140"	70276.89	0.995436	160.084031890661	1.06462395543175	439
"S82.871_97799"	40987.5	0.992149	13662.5	1	3
"S06.0X9_97750"	34989.05	0.990875	353.424747474748	1.26943005181347	99
"T31.0_A0436"	73481.34	0.995657	6680.12181818182	2	11
"S83.282_29881"	445501.58	0.999463	1614.13615942029	1.50179211469534	276
"G56.02_64718"	36072.97	0.99114	1442.9188	1.48	25
"K43.9_49561"	33301.52	0.990472	1233.38962962963	1.51851851851852	27
"M50.123_22551"	84323.29	0.996223	3666.23	1.65217391304348	23
"S93.432_27695"	32695.94	0.990298	2179.72933333333	1.46666666666667	15
"M25.332_25320"	58958.52	0.994534	4535.27076923077	2.15384615384615	13
"S52.022_99456"	44692	0.992789	812.581818181818	1.60655737704918	55
"M25.572_97799"	49532.73	0.993472	12383.1825	1.61818181818182	4
"S82.201_99456"	106609.5	0.997068	807.647727272727	1.56578947368421	132
"S43.492_29807"	44168.58	0.992717	2760.53625	1.25	16
"M96.0_L8699"	51769.65	0.993731	12942.4125	1.5	4
"L89.154_S9122"	172165.76	0.998329	57388.5866666667	1.18489583333333	3
"M19.011_L8699"	67665.77	0.995261	13533.154	1	5
"M75.42_97530"	153275.78	0.998082	445.569127906977	1.22742636407533	344
"M23.8X2_J7330"	60709	0.994715	60709	1	1
"T14.90X_A0130"	208873.32	0.998677	1082.24518134715	1.16935064935065	193
"S73.101_97799"	127076.25	0.99761	21179.375	1.16071428571429	6
"M77.11_97750"	45826.37	0.992945	595.147662337662	1.37362637362637	77
"R51_99203"	74436.01	0.995704	146.816587771203	1.06640625	507
"S43.91X_97799"	61062.5	0.994745	12212.5	1.25	5
"K43.9_99204"	45961.89	0.992965	234.49943877551	1.10550458715596	196
"G82.52_S9124"	673194.69	0.999691	336597.345	1.81592039800995	2
"M65.4_20550"	65451.24	0.995076	100.694215384615	1.17407407407407	650
"G90.50_63650"	63508.49	0.994929	6350.849	2.54545454545455	10
"S72.002_97799"	40230	0.992029	13410	1.16393442622951	3
"S76.912_99456"	34175	0.990675	1067.96875	2.15384615384615	32
"T20.20X_A0431"	71372.93	0.995505	4460.808125	1.5625	16
"R57.1_A0434"	35125.21	0.990914	35125.21	1	1
"S46.811_99080"	68780	0.995341	25.0838803792852	1.05819063494469	2742
"S39.83X_A0431"	57180	0.994364	28590	1	2
"S73.191_99214"	43006.95	0.992517	294.568150684931	1.0418118466899	146
"M75.01_E1399"	67580.94	0.995256	3071.86090909091	1.20253164556962	22
"S46.811_97799"	213488	0.998708	15249.1428571429	1.2037037037037	14
"M51.26_95941"	43761.13	0.992645	286.02045751634	1.90967741935484	153
"S43.014_97799"	46000	0.992966	23000	1.015625	2
"S00.03X_99214"	199041.75	0.99861	286.803674351585	1.05124223602484	694
"S52.572_99456"	77547	0.995892	704.972727272727	1.42982456140351	110
"S61.214_99456"	38875	0.991766	845.108695652174	1.72	46
"S47.2XX_A0436"	36607.26	0.991254	18303.63	1.5	2
"S62.603_99456"	66833.33	0.995198	815.040609756098	1.52747252747253	82
"S83.241_97799"	157884.94	0.998149	9867.80875	1.36727272727273	16
"S86.919_99213"	36290.97	0.991184	255.570211267606	1.03977272727273	142
"S52.124_99456"	89841	0.996462	831.861111111111	1.61157024793388	108
"S46.001_99456"	96725	0.996731	799.380165289256	1.66423357664234	121
"M25.561_97799"	146735	0.997962	8631.47058823529	1.31868131868132	17
"M24.111_29823"	40029.46	0.99199	1177.33705882353	1.55882352941176	34
"R56.1_95951"	85990.47	0.996299	8599.047	1.78260869565217	10
"S83.281_73721"	86505.98	0.99632	259.777717717718	1.05899705014749	333
"S63.512_97110"	38885.44	0.99177	707.008	1.17330210772834	55
"T84.53X_J0878"	36772	0.991298	18386	1.59375	2
"S83.221_J7330"	36491.54	0.991228	36491.54	1	1
"S56.919_99456"	36425	0.991214	1071.32352941176	2.02325581395349	34
"M75.102_23412"	92774.99	0.996573	2992.74161290323	1.34375	31
"S68.114_L7499"	53893.3	0.994023	53893.3	2	1
"S90.01X_97799"	58337.5	0.994469	9722.91666666667	1.2020202020202	6
"S06.345_97799"	50823.95	0.993629	50823.95	1.5	1
"S92.351_28322"	50697.39	0.993611	2668.28368421053	1.26315789473684	19
"S72.331_27506"	34669.39	0.990796	2666.87615384615	1.30769230769231	13
"S60.222_99213"	435542.74	0.999445	188.873694709454	1.0389300214951	2306
"S92.002_97799"	35625	0.991034	11875	1	3
"R60.0_73718"	84552.31	0.996234	359.797063829787	1.07563025210084	235
"S88.112_L5980"	50405.95	0.993587	4200.49583333333	1.08333333333333	12
"S09.90X_95957"	52254.98	0.993804	544.322708333333	1.40601503759399	96
"S52.571_99456"	67900	0.995273	700	1.51485148514851	97
"S80.811_99203"	33180.33	0.990449	153.612638888889	1.08755760368664	216
"S82.61X_97799"	49550	0.993477	24775	1.13114754098361	2
"K40.20_99456"	43700	0.992638	728.333333333333	1.63888888888889	60
"S83.511_E0676"	52717.28	0.993871	658.966	1.21686746987952	80
"M75.22_29823"	73365.56	0.995649	1164.5326984127	1.96825396825397	63
"S68.621_L7499"	45618.44	0.992906	22809.22	3	2
"G82.54_T1020"	65655	0.995104	32827.5	1	2
"M54.16_99456"	315019.25	0.99919	680.387149028078	1.83757338551859	463
"S52.501_97546"	41660.58	0.99228	3787.32545454545	1.11392405063291	11
"S63.592_99456"	70100	0.995425	876.25	1.61458333333333	80
"Z76.89_T1019"	120000	0.997441	120000	2.22875816993464	1
"S14.101_K0108"	37655.28	0.991492	18827.64	6.2	2
"S46.111_24342"	48925.39	0.993386	2877.96411764706	1.29411764705882	17
"M51.27_97750"	37331.25	0.99142	602.116935483871	1.25	62
"S83.241_97545"	67193.82	0.995234	908.024594594595	1.18192219679634	74
"S82.841_27814"	455106.87	0.999479	2286.9691959799	1.65174129353234	199
"S14.3XX_L3999"	119805	0.997431	119805	3	1
"S61.011_99456"	48261.5	0.993289	670.298611111111	1.41558441558442	72
"H04.613_B4197"	36126	0.991149	36126	1	1
"S61.213_97799"	47950	0.993249	23975	1.03448275862069	2
"S86.912_99455"	38989.05	0.991794	178.848853211009	1.07563025210084	218
"S12.9XX_A0436"	33422.64	0.990499	16711.32	2	2
"S52.592_25609"	32435.38	0.99022	2027.21125	1.25	16
"M54.9_97799"	142240	0.997891	20320	1.19791666666667	7
"S22.31X_99456"	54470	0.994079	972.678571428571	2.01515151515152	56
"S92.355_E0747"	42491.67	0.992428	4249.167	1.18181818181818	10
"S63.501_97799"	361019.61	0.999322	10939.9881818182	1.78829604130809	33
"S88.012_L5856"	83991.89	0.996207	27997.2966666667	1.33333333333333	3
"M76.51_99213"	36322.05	0.991189	248.781164383562	1.05962059620596	146
"S14.135_A4353"	65896.25	0.995121	65896.25	1.2962962962963	1
"S93.691_97799"	36362.52	0.991195	18181.26	1	2
"S62.101_97799"	74285	0.995694	14857	1.10126582278481	5
"S83.412_97140"	41969.11	0.992346	174.871291666667	1.11013215859031	240
"Z77.098_99456"	38247.5	0.99163	910.654761904762	2.38775510204082	42
"S33.5XX_L8680"	47363.47	0.993164	2152.885	1.63636363636364	22
"S16.1XX_97750"	265871.24	0.998997	694.180783289817	1.72865275142315	383
"S82.831_27792"	35221.64	0.990936	1304.50518518519	1.22222222222222	27
"S68.012_L7499"	106234.16	0.997055	15176.3085714286	2.55555555555556	7
"S68.511_L7499"	72634.8	0.995595	18158.7	1.75	4
"S62.602_99456"	58892.5	0.994528	764.837662337662	1.41379310344828	77
"S52.122_97799"	33396.13	0.990492	8349.0325	1.08108108108108	4
"M25.561_80307"	35591.53	0.991028	181.58943877551	1.20293398533007	196
"Z89.511_L5968"	39695.18	0.991921	3969.518	1	10
