diagnosis_prefix,HCPCS.Line.Procedure.Billed.Code,total_paid
T14.90X,A0090,1152.32
M54.16,72100,61.51
M48.06,95941,0
Z01.810,99245,0
M54.17,99213,599.3499999999999
M47.26,64483,668.73
M51.26,G8985,0
G89.4,99214,1007.8599999999999
M47.16,72114,26.279999999999998
M60.80,80307,0
T85.192,00300,324.12
S39.012,97750,177.9
I82.409,99213,100
M47.27,01992,781.19
Z79.899,80359,0
T14.90,A0090,260.4
M48.062,72020,12.68
M48.061,85027,0
M25.561,73721,371.36
M47.816,72148,238.4
M54.32,99080,15
Z01.89,72220,13.99
M54.2,83986,0
S63.501,97750,433.36
M54.9,A4215,0
M96.1,83986,0
S33.5XX,99213,10634.269999999991
S43.402,99455,50
S43.409,73221,311.38
M54.10,G0480,0
Z47.89,72100,57.25
S13.4XX,99456,350
M54.12,99213,119.86999999999999
R52,99456,0
M53.80,99214,516.29
S33.8XX,62323,346.07
I10,01992,367.35
M54.5,G8981,0
M51.37,72110,81.44000000000001
I80.12,99214,0
M54.05,95831,0
Z01.818,71046,17.67
M51.36,72148,312.34000000000003
S63.8X9,99213,61.82
M51.27,E0676,0
R94.31,93010,27.09
S46.002,97140,37.65
M25.552,99213,233.07
Z79.891,80307,90.11
M51.16,96101,390.81
M54.16,64483,227.16
M48.06,G0453,162.45000000000002
Z01.810,99358,0
M47.26,64484,311.27
M51.26,63030,2510.5699999999997
G89.4,0054U,198.73999999999998
M60.80,G0482,0
T85.192,95972,69.11
S39.012,99204,272
I82.409,99214,148.9
Z79.899,82101,0
M48.061,62323,605.62
M47.816,72110,49.6
M54.32,99214,177.89000000000001
M54.2,72040,50.44
S63.501,99456,800
M54.9,A4556,0
M96.1,80307,0
S33.5XX,G0283,17.25
S43.402,G8985,0
M54.10,82247,1.6800000000000002
S33.8XX,99213,0
I10,99070,0
M54.5,97110,239.64
M51.37,80307,0
M54.05,95832,0
Z01.818,71020,17.38
M51.36,96101,0
M51.27,99214,182.03
S46.002,97110,660.2999999999998
Z79.891,G0482,288.18
M51.16,72100,0
M54.16,L1210,235
M48.06,95861,286.05
Z01.810,93000,28.07
M51.26,99361,226
G89.4,G0481,583.6
T85.192,63685,756.65
S39.012,96136,79.33
Z79.899,80323,0
M48.061,87088,0
M54.2,G0483,0
S63.501,97150,46.14
M54.9,95912,418.64000000000004
M96.1,82570,0
S33.5XX,97162,235.41000000000003
S43.402,97162,120.45
M54.10,84075,1.7
S33.8XX,99212,45.449999999999996
I10,J1885,0
M54.5,97112,233.32999999999998
M51.37,G0481,0
M51.36,96150,182.41
Z79.891,0054U,0
M51.16,99213,117.3
M54.16,01992,361.06
M48.06,A4556,0
M51.26,80053,7.34
F41.9,01992,0
S39.012,97161,133.12
Z79.899,82646,0
M48.061,81003,0
M54.2,72141,352.07
S63.501,97110,1401.68
M54.9,A4558,0
M96.1,01992,367.36
S33.5XX,99284,735.54
S43.402,99213,121.71000000000001
M54.10,84155,1.7
S33.8XX,01992,288
M54.5,G0283,16.650000000000002
M51.37,99204,269
M51.16,90791,213.12
M54.16,82962,1.85
M48.06,95938,562.4399999999999
M51.26,99203,167.68
F41.9,99070,0
S39.012,99080,15
Z79.899,81003,15.059999999999999
M48.061,00670,0
M54.2,80307,0
S63.501,97010,0
M54.9,95886,289.96000000000004
M96.1,99213,113.51
S33.5XX,E0731,91.43
S43.402,G8984,0
M54.10,80307,0
S33.8XX,J2250,0.8300000000000001
M54.5,97162,132
M51.37,99214,175
M51.16,97750,0
M54.16,64484,106.5
M48.06,95999,0
M51.26,L1030,0
F41.9,J2704,0
S39.012,96130,196.3
Z79.899,G0482,0
M48.061,80053,0
M54.2,82570,0
S63.501,99455,50
M96.1,G0483,460.14000000000004
S33.5XX,A4595,25.08
S43.402,97110,36.49
M54.10,84402,57
S33.8XX,J3301,5.29
M54.5,99214,487.54
M51.37,G0482,370.37
M51.16,99080,15
M54.16,99456,800
M48.06,A4557,0
M51.26,E0745,0
S39.012,99456,950
Z79.899,G0481,0
S63.501,97140,99.12
S33.5XX,G8978,0
S43.402,99456,800
M54.10,82374,1.7
M54.5,97012,206.70000000000005
M51.16,99204,249.85000000000002
M54.16,L1220,240
M51.26,72114,102.74000000000001
S39.012,72148,329.45
Z79.899,80373,0
S33.5XX,97530,372.97999999999996
S43.402,99080,15
M54.10,82947,1.6800000000000002
M54.5,99456,650
M51.16,99214,177.89000000000001
M54.16,95937,252.6
M51.26,72040,51.91
S39.012,90837,904.4399999999999
Z79.899,80166,0
S33.5XX,64483,1653.3000000000002
M54.10,82310,1.7
M54.5,97530,271.22
M51.16,63030,2045.75
M54.16,99205,345
M51.26,99100,0
S39.012,90791,231.51
Z79.899,80337,0
S33.5XX,97032,19.71
M54.10,84295,1.6800000000000002
M54.5,99284,0
M51.16,99456,350
M54.16,99214,352.44000000000005
M51.26,99204,770.59
S39.012,97112,44.47
Z79.899,80174,0
S33.5XX,99212,67.43
M54.10,82565,1.7
M54.5,97150,45.38
M51.16,72120,67.13
M54.16,99080,45
M51.26,73564,61.760000000000005
S39.012,99213,239.73999999999998
Z79.899,80377,0
S33.5XX,96151,280
M54.10,84132,1.7
M54.5,G0483,0
M54.16,95886,282.12
M51.26,99214,2286.1799999999994
S39.012,97110,75.04
Z79.899,82145,0
S33.5XX,97140,1266.1900000000005
M54.10,84460,1.6800000000000002
M54.5,97535,312.98
M54.16,97750,865.2
M51.26,97162,124.46000000000001
S39.012,97162,141.22
Z79.899,84311,46.95
S33.5XX,G0483,0
M54.10,82435,1.6800000000000002
M54.5,97164,88.98
M54.16,99283,101.07
M51.26,62323,0
S39.012,97150,24.16
Z79.899,80307,162.2
S33.5XX,97150,103.79999999999998
